PersonalLoan,Age,CCAvg,Education,Experience,Family,Income,Mortgage,CDAccount,CreditCard,Online,SecuritiesAccount
0,25,1.6,1,1,4,49,0,0,0,0,1
0,45,1.5,1,19,3,34,0,0,0,0,1
0,39,1,1,15,1,11,0,0,0,0,0
0,35,2.7,2,9,1,100,0,0,0,0,0
0,35,1,2,8,4,45,0,0,1,0,0
0,37,0.4,2,13,4,29,155,0,0,1,0
0,53,1.5,2,27,2,72,0,0,0,1,0
0,50,0.3,3,24,1,22,0,0,1,0,0
0,35,0.6,2,10,3,81,104,0,0,1,0
1,34,8.9,3,9,1,180,0,0,0,0,0
0,65,2.4,3,39,4,105,0,0,0,0,0
0,29,0.1,2,5,3,45,0,0,0,1,0
0,48,3.8,3,23,2,114,0,0,0,0,1
0,59,2.5,2,32,4,40,0,0,0,1,0
0,67,2,1,41,1,112,0,0,0,0,1
0,60,1.5,3,30,1,22,0,0,1,1,0
1,38,4.7,3,14,4,130,134,0,0,0,0
0,42,2.4,1,18,4,81,0,0,0,0,0
1,46,8.1,3,21,2,193,0,0,0,0,0
0,55,0.5,2,28,1,21,0,0,1,0,1
0,56,0.9,2,31,4,25,111,0,0,1,0
0,57,2,3,27,3,63,0,0,0,1,0
0,29,1.2,1,5,1,62,260,0,0,1,0
0,44,0.7,1,18,2,43,163,0,0,0,1
0,36,3.9,1,11,2,152,159,0,1,0,0
0,43,0.5,1,19,3,29,97,0,0,1,0
0,40,0.2,3,16,4,83,0,0,0,0,0
0,46,2.4,1,20,1,158,0,0,1,1,0
0,56,2.2,3,30,1,48,0,0,1,1,0
1,38,3.3,2,13,1,119,0,1,1,1,0
0,59,1.2,3,35,1,35,122,0,0,1,0
0,40,2,2,16,1,29,0,0,0,1,0
0,53,0.6,3,28,2,41,193,0,0,0,0
0,30,0.9,3,6,3,18,0,0,0,0,0
0,31,1.8,3,5,4,50,0,0,0,1,0
0,48,0.7,1,24,3,81,0,0,0,0,0
0,59,2.9,1,35,1,121,0,0,1,0,0
0,51,1.4,3,25,1,71,198,0,0,0,0
1,42,5,3,18,3,141,0,1,0,1,1
0,38,0.7,3,13,4,80,285,0,0,1,0
0,57,1.6,3,32,3,84,0,0,0,0,1
0,34,2.3,1,9,3,60,0,0,0,0,0
1,32,1.1,2,7,4,132,412,0,0,1,0
0,39,0.7,1,15,1,45,0,0,0,1,0
0,46,5.7,1,20,1,104,0,0,1,1,0
0,57,2.5,1,31,4,52,0,0,1,0,0
0,39,0.7,2,14,3,43,153,0,0,1,0
1,37,0.2,3,12,4,194,211,1,1,1,1
0,56,4.5,3,26,2,81,0,0,1,0,0
0,40,1.8,1,16,1,49,0,0,1,0,0
0,32,0.7,2,8,4,8,0,0,0,1,1
0,61,2.9,1,37,1,131,0,0,0,1,0
0,30,0.1,1,6,1,72,207,0,0,0,0
1,50,2.1,3,26,3,190,240,0,0,1,0
0,29,0.2,3,5,1,44,0,0,0,1,0
0,41,8,1,17,2,139,0,0,0,1,0
0,55,0.1,2,30,3,29,0,1,0,1,1
1,56,1.2,3,31,2,131,0,0,0,0,0
0,28,0.2,1,2,2,93,0,0,0,0,0
0,31,4.5,1,5,2,188,455,0,0,0,0
0,49,1.7,2,24,3,39,0,0,0,1,1
0,47,5.7,1,21,1,125,112,0,0,0,1
0,42,1,1,18,1,22,0,0,0,0,0
0,42,0,2,17,4,32,0,0,0,1,0
0,47,3.3,1,23,2,105,0,0,0,0,0
0,59,3.8,1,35,1,131,0,0,1,1,0
0,62,2.8,1,36,2,105,336,0,0,0,0
0,53,2,3,23,4,45,132,0,0,0,1
0,47,2.1,1,21,3,60,0,0,1,1,0
0,53,0.2,1,29,4,20,0,0,0,1,0
0,42,3.5,1,18,1,115,0,0,1,0,0
0,53,1,2,29,4,69,0,0,0,1,0
0,44,5,1,20,1,130,0,0,1,0,0
0,41,4,3,16,1,85,0,0,1,1,0
0,28,3.3,1,3,2,135,0,0,1,0,0
1,31,3.8,2,7,4,135,0,1,1,1,0
0,58,0.3,3,32,3,12,0,0,0,0,0
0,46,0.5,2,20,3,29,0,0,0,0,0
1,54,2.6,3,30,2,133,0,0,0,0,0
0,50,0.4,1,26,2,19,118,0,0,1,0
0,60,1.3,1,36,4,41,174,0,1,1,0
0,47,2.7,2,22,3,40,0,0,0,1,0
0,41,4,3,16,1,82,0,0,0,1,0
0,33,2.4,2,9,1,50,0,0,0,0,0
0,46,0.9,3,22,1,18,0,0,0,1,0
0,27,1.8,3,2,4,109,0,0,0,0,0
0,40,2.2,2,16,4,42,126,0,0,0,0
0,48,1.1,1,22,3,78,0,0,0,1,0
0,65,1.1,1,41,2,51,0,0,0,1,0
0,25,2.3,3,-1,4,113,0,0,1,0,0
1,55,5.6,2,30,4,118,0,0,0,1,0
0,35,1.1,3,10,4,29,0,0,0,1,0
0,43,0.6,2,19,3,34,0,0,0,0,0
0,60,1.7,3,34,2,64,236,0,0,1,1
0,65,2,1,39,1,121,0,0,0,0,0
0,38,0.2,3,12,4,48,0,0,0,1,0
0,41,5.2,1,15,1,80,0,0,0,0,0
0,54,2.9,1,28,1,161,0,0,0,1,0
0,49,0.3,1,23,1,94,0,0,0,1,0
0,66,0.1,3,41,3,15,0,0,0,1,0
0,48,1.2,1,23,1,74,0,0,0,1,0
0,61,1.3,2,36,3,30,0,0,0,0,0
0,53,1,3,23,3,44,198,0,1,1,0
0,43,0.3,2,18,2,22,0,0,0,1,0
0,56,1.3,1,32,4,38,166,0,1,1,0
0,24,0.1,2,0,3,35,0,0,0,1,1
0,43,2.9,1,17,4,69,0,0,1,1,0
0,42,0.7,1,18,1,43,136,0,0,0,0
0,33,0.6,3,7,1,32,166,0,0,1,0
0,43,2.8,1,17,1,49,0,0,0,1,0
0,41,1,2,14,3,9,0,0,0,0,0
0,62,1.3,2,38,4,45,0,0,0,1,0
0,40,1,1,15,3,82,309,0,0,0,0
0,58,2.8,1,34,2,92,103,0,0,0,0
0,39,0.5,3,14,3,39,0,0,0,1,0
0,65,1.8,2,40,3,81,0,0,0,1,0
0,54,1.5,2,29,1,35,0,0,0,1,0
0,58,2.3,3,33,2,61,193,0,0,1,0
0,41,3,1,16,3,73,0,0,0,1,0
0,32,4.6,1,7,1,112,366,0,0,0,0
0,54,0.2,3,29,2,12,0,0,0,1,0
0,52,0.9,3,26,3,38,0,0,0,1,0
0,58,0.7,2,32,2,73,0,0,1,1,0
0,37,3.6,2,13,1,84,0,0,0,0,1
0,39,2.4,1,15,4,78,118,0,0,1,0
0,60,0.5,1,35,3,80,0,0,0,1,0
0,31,1.3,1,5,2,115,101,0,1,1,0
0,34,2.7,2,8,1,82,251,0,0,1,0
